"IRESTAURANT","SHIFTDATE","CREATETIME","STARTTIME","CLOSETIME","SHIFTLOADDATETIME","PROC_DATE"
"307","2023-04-20 00:00:00.000","2023-04-19 21:37:32.000","2023-04-20 12:28:29.000","2023-04-20 21:09:06.000","2023-04-20 21:18:52.000","2023-04-21 05:30:47.030"
"211","2023-04-20 00:00:00.000","2023-04-19 22:19:54.000","2023-04-20 12:06:13.000","2023-04-20 21:53:27.000","2023-04-20 21:57:20.000","2023-04-21 05:30:47.030"
"17","2023-04-20 00:00:00.000","2023-04-19 22:17:55.000","2023-04-20 12:38:27.000","2023-04-20 22:30:49.000","2023-04-20 22:31:16.000","2023-04-21 05:30:47.030"
"216","2023-04-20 00:00:00.000","2023-04-19 21:38:46.000","2023-04-20 13:01:41.000","2023-04-20 22:25:57.000","2023-04-20 22:26:49.000","2023-04-21 05:30:47.030"
"137","2023-04-20 00:00:00.000","2023-04-19 21:09:54.000","2023-04-20 12:29:40.000","2023-04-20 22:01:37.000","2023-04-20 22:04:39.000","2023-04-21 05:30:47.030"
"328","2023-04-20 00:00:00.000","2023-04-19 21:42:30.000","2023-04-20 12:42:00.000","2023-04-20 21:13:14.000","2023-04-20 21:15:57.000","2023-04-21 05:30:47.030"
"365","2023-04-20 00:00:00.000","2023-04-19 21:07:36.000","2023-04-20 13:41:21.000","2023-04-20 21:48:53.000","2023-04-20 21:55:24.000","2023-04-21 05:30:47.030"
"13","2023-04-20 00:00:00.000","2023-04-19 22:38:56.000","2023-04-20 13:08:22.000","2023-04-20 22:04:06.000","2023-04-20 22:09:28.000","2023-04-21 05:30:47.030"
"19","2023-04-20 00:00:00.000","2023-04-19 21:34:03.000","2023-04-20 13:09:26.000","2023-04-20 21:22:34.000","2023-04-20 21:30:25.000","2023-04-21 05:30:47.030"
"16","2023-04-20 00:00:00.000","2023-04-19 21:25:00.000","2023-04-20 12:23:21.000","2023-04-20 22:22:35.000","2023-04-20 22:34:16.000","2023-04-21 05:30:47.030"
"143","2023-04-20 00:00:00.000","2023-04-19 21:33:03.000","2023-04-20 12:51:44.000","2023-04-20 21:22:22.000","2023-04-20 21:25:19.000","2023-04-21 05:30:47.030"
"14","2023-04-20 00:00:00.000","2023-04-19 22:14:14.000","2023-04-20 12:46:47.000","2023-04-20 22:16:04.000","2023-04-20 22:16:42.000","2023-04-21 05:30:47.030"
"156","2023-04-20 00:00:00.000","2023-04-19 17:02:47.000","2023-04-20 14:53:55.000","2023-04-20 16:46:36.000","2023-04-20 16:49:10.000","2023-04-21 05:30:47.030"
"209","2023-04-20 00:00:00.000","2023-04-19 22:15:13.000","2023-04-20 13:14:17.000","2023-04-20 22:16:27.000","2023-04-20 22:16:56.000","2023-04-21 05:30:47.030"
"27","2023-04-20 00:00:00.000","2023-04-19 22:09:16.000","2023-04-20 11:58:33.000","2023-04-20 21:43:15.000","2023-04-20 21:48:16.000","2023-04-21 05:30:47.030"
"325","2023-04-20 00:00:00.000","2023-04-19 22:07:57.000","2023-04-20 14:19:45.000","2023-04-20 22:39:27.000","2023-04-20 22:41:14.000","2023-04-21 05:30:47.030"
"360","2023-04-20 00:00:00.000","2023-04-19 21:27:32.000","2023-04-20 13:17:53.000","2023-04-20 21:52:30.000","2023-04-20 21:55:44.000","2023-04-21 05:30:47.030"
"312","2023-04-20 00:00:00.000","2023-04-19 21:51:19.000","2023-04-20 12:51:12.000","2023-04-20 21:24:44.000","2023-04-20 21:28:40.000","2023-04-21 05:30:47.030"
"290","2023-04-20 00:00:00.000","2023-04-19 21:39:05.000","2023-04-20 13:06:50.000","2023-04-20 22:20:21.000","2023-04-20 22:25:28.000","2023-04-21 05:30:47.030"
"2","2023-04-20 00:00:00.000","2023-04-19 21:44:06.000","2023-04-20 13:13:06.000","2023-04-20 22:11:05.000","2023-04-20 22:15:37.000","2023-04-21 05:30:47.030"
"331","2023-04-20 00:00:00.000","2023-04-19 21:59:44.000","2023-04-20 12:20:53.000","2023-04-20 21:49:01.000","2023-04-20 21:52:03.000","2023-04-21 05:30:47.030"
